total 0
dr-x------ 2 mark mark 134 Nov 23 12:17 .
dr-xr-xr-x 9 mark mark   0 Nov 23 12:17 ..
lr-x------ 1 mark mark  64 Nov 23 12:17 0 -> /dev/null
lrwx------ 1 mark mark  64 Nov 23 12:17 1 -> socket:[15163]
lr-x------ 1 mark mark  64 Nov 23 12:17 10 -> anon_inode:inotify
lrwx------ 1 mark mark  64 Nov 23 12:18 100 -> anon_inode:[pidfd]
lrwx------ 1 mark mark  64 Nov 23 12:18 101 -> anon_inode:[pidfd]
lrwx------ 1 mark mark  64 Nov 23 12:18 102 -> anon_inode:[pidfd]
lrwx------ 1 mark mark  64 Nov 23 12:18 103 -> anon_inode:[pidfd]
lrwx------ 1 mark mark  64 Nov 23 12:18 104 -> anon_inode:[pidfd]
lrwx------ 1 mark mark  64 Nov 23 12:18 105 -> anon_inode:[pidfd]
lrwx------ 1 mark mark  64 Nov 23 12:18 106 -> anon_inode:[pidfd]
lrwx------ 1 mark mark  64 Nov 23 12:18 107 -> anon_inode:[pidfd]
lrwx------ 1 mark mark  64 Nov 23 12:18 108 -> anon_inode:[pidfd]
lrwx------ 1 mark mark  64 Nov 23 12:18 109 -> anon_inode:[pidfd]
lr-x------ 1 mark mark  64 Nov 23 12:18 11 -> anon_inode:inotify
lrwx------ 1 mark mark  64 Nov 23 12:18 110 -> anon_inode:[pidfd]
lrwx------ 1 mark mark  64 Nov 23 12:18 111 -> anon_inode:[pidfd]
lrwx------ 1 mark mark  64 Nov 23 12:18 112 -> anon_inode:[pidfd]
lrwx------ 1 mark mark  64 Nov 23 12:18 113 -> anon_inode:[pidfd]
lrwx------ 1 mark mark  64 Nov 23 12:18 114 -> anon_inode:[pidfd]
lrwx------ 1 mark mark  64 Nov 23 12:18 115 -> anon_inode:[pidfd]
lrwx------ 1 mark mark  64 Nov 23 12:18 116 -> anon_inode:[pidfd]
lrwx------ 1 mark mark  64 Nov 23 12:18 117 -> anon_inode:[pidfd]
lrwx------ 1 mark mark  64 Nov 23 12:18 118 -> anon_inode:[pidfd]
lrwx------ 1 mark mark  64 Nov 23 12:18 119 -> anon_inode:[pidfd]
lrwx------ 1 mark mark  64 Nov 23 12:17 12 -> anon_inode:[timerfd]
lrwx------ 1 mark mark  64 Nov 23 12:18 120 -> anon_inode:[pidfd]
lrwx------ 1 mark mark  64 Nov 23 12:18 121 -> anon_inode:[pidfd]
lrwx------ 1 mark mark  64 Nov 23 12:18 122 -> anon_inode:[pidfd]
