total 0
dr-x------ 2 root root 122 Nov 20 03:38 .
dr-xr-xr-x 9 root root   0 Nov 20 03:38 ..
lr-x------ 1 root root  64 Nov 20 03:38 0 -> /dev/null
l-wx------ 1 root root  64 Nov 20 03:38 1 -> /dev/null
lr-x------ 1 root root  64 Nov 23 12:18 10 -> /proc/sys/kernel/hostname
lrwx------ 1 root root  64 Nov 23 12:18 101 -> socket:[16282]
lrwx------ 1 root root  64 Nov 23 12:18 102 -> socket:[16283]
lrwx------ 1 root root  64 Nov 23 12:18 103 -> socket:[16089]
lrwx------ 1 root root  64 Nov 23 12:18 104 -> socket:[16303]
lrwx------ 1 root root  64 Nov 23 12:18 105 -> socket:[16312]
lrwx------ 1 root root  64 Nov 23 12:18 106 -> socket:[16314]
lrwx------ 1 root root  64 Nov 23 12:18 107 -> socket:[17547]
lrwx------ 1 root root  64 Nov 23 12:18 108 -> socket:[16332]
lrwx------ 1 root root  64 Nov 23 12:18 109 -> socket:[16378]
lrwx------ 1 root root  64 Nov 23 12:18 11 -> anon_inode:[signalfd]
lrwx------ 1 root root  64 Nov 23 12:18 110 -> socket:[17470]
lrwx------ 1 root root  64 Nov 23 12:18 111 -> socket:[17413]
lrwx------ 1 root root  64 Nov 23 12:18 112 -> socket:[17593]
lrwx------ 1 root root  64 Nov 23 12:18 113 -> socket:[17690]
lrwx------ 1 root root  64 Nov 23 12:18 114 -> socket:[17471]
lrwx------ 1 root root  64 Nov 23 12:18 115 -> socket:[17488]
lrwx------ 1 root root  64 Nov 23 12:18 116 -> socket:[17451]
lrwx------ 1 root root  64 Nov 23 12:18 117 -> socket:[17462]
lrwx------ 1 root root  64 Nov 23 12:18 118 -> socket:[17463]
lrwx------ 1 root root  64 Nov 23 12:18 119 -> socket:[17481]
lrwx------ 1 root root  64 Nov 23 12:18 12 -> anon_inode:[signalfd]
lrwx------ 1 root root  64 Nov 23 12:18 120 -> socket:[17487]
lrwx------ 1 root root  64 Nov 23 12:18 121 -> socket:[17492]
lrwx------ 1 root root  64 Nov 23 12:18 122 -> socket:[17496]
lrwx------ 1 root root  64 Nov 23 12:18 123 -> socket:[17497]
lrwx------ 1 root root  64 Nov 23 12:18 124 -> socket:[17498]
lrwx------ 1 root root  64 Nov 23 12:18 125 -> socket:[17499]
lrwx------ 1 root root  64 Nov 23 12:18 126 -> socket:[17500]
lrwx------ 1 root root  64 Nov 23 12:18 127 -> socket:[17693]
lrwx------ 1 root root  64 Nov 23 12:18 128 -> socket:[17694]
lrwx------ 1 root root  64 Nov 23 12:18 129 -> socket:[17705]
lrwx------ 1 root root  64 Nov 23 12:18 13 -> anon_inode:[signalfd]
lrwx------ 1 root root  64 Nov 23 12:18 130 -> socket:[17707]
lrwx------ 1 root root  64 Nov 23 12:18 131 -> socket:[17761]
lrwx------ 1 root root  64 Nov 23 12:18 132 -> socket:[17762]
lrwx------ 1 root root  64 Nov 23 12:18 133 -> socket:[17768]
lrwx------ 1 root root  64 Nov 23 12:18 134 -> socket:[17780]
